model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1600,1,0.840800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1600,1,0.814086
ProtoNet,1,5,64,4,amazonreview_all_data,val,1600,1,0.536877
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1700,1,0.869200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1700,1,0.813821
ProtoNet,1,5,64,4,amazonreview_all_data,val,1700,1,0.517076
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1800,1,0.884000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1800,1,0.804651
ProtoNet,1,5,64,4,amazonreview_all_data,val,1800,1,0.506711
ProtoNet,1,5,64,4,amazonreview_all_data,Train,1900,1,0.883600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,1900,1,0.815149
ProtoNet,1,5,64,4,amazonreview_all_data,val,1900,1,0.483189
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2000,1,0.875600
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2000,1,0.819668
ProtoNet,1,5,64,4,amazonreview_all_data,val,2000,1,0.498870
ProtoNet,5,5,64,4,amazonreview_all_data,Train,100,0,0.652800
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,100,0,0.797608
ProtoNet,5,5,64,4,amazonreview_all_data,val,100,0,0.714817
ProtoNet,5,5,64,4,amazonreview_all_data,Train,200,0,0.802000
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,200,0,0.826977
ProtoNet,5,5,64,4,amazonreview_all_data,val,200,0,0.702060
ProtoNet,5,5,64,4,amazonreview_all_data,Train,300,0,0.836800
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,300,0,0.838804
ProtoNet,5,5,64,4,amazonreview_all_data,val,300,0,0.706711
ProtoNet,5,5,64,4,amazonreview_all_data,Train,400,0,0.842800
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,400,0,0.861528
ProtoNet,5,5,64,4,amazonreview_all_data,val,400,0,0.696478
ProtoNet,5,5,64,4,amazonreview_all_data,Train,500,0,0.864000
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,500,0,0.847176
ProtoNet,5,5,64,4,amazonreview_all_data,val,500,0,0.706312
ProtoNet,5,5,64,4,amazonreview_all_data,Train,600,0,0.871600
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,600,0,0.859269
ProtoNet,5,5,64,4,amazonreview_all_data,val,600,0,0.693688
ProtoNet,5,5,64,4,amazonreview_all_data,Train,700,0,0.889200
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,700,0,0.860997
ProtoNet,5,5,64,4,amazonreview_all_data,val,700,0,0.683588
ProtoNet,5,5,64,4,amazonreview_all_data,Train,800,0,0.899600
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,800,0,0.867774
ProtoNet,5,5,64,4,amazonreview_all_data,val,800,0,0.667641
ProtoNet,5,5,64,4,amazonreview_all_data,Train,900,0,0.918000
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,900,0,0.871229
ProtoNet,5,5,64,4,amazonreview_all_data,val,900,0,0.662591
ProtoNet,5,5,64,4,amazonreview_all_data,Train,1000,0,0.919999
ProtoNet,5,5,64,4,amazonreview_all_data,indomain-val,1000,0,0.865648
