model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview_all_data,val,2400,0,0.438007
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2500,0,0.940800
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2500,0,0.845316
ProtoNet,1,5,64,4,amazonreview_all_data,val,2500,0,0.443322
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2600,0,0.944000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2600,0,0.846910
ProtoNet,1,5,64,4,amazonreview_all_data,val,2600,0,0.468173
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2700,0,0.945200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2700,0,0.842126
ProtoNet,1,5,64,4,amazonreview_all_data,val,2700,0,0.442259
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2800,0,0.919599
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2800,0,0.829103
ProtoNet,1,5,64,4,amazonreview_all_data,val,2800,0,0.474950
ProtoNet,1,5,64,4,amazonreview_all_data,Train,2900,0,0.952399
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,2900,0,0.843854
ProtoNet,1,5,64,4,amazonreview_all_data,val,2900,0,0.440133
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3000,0,0.949599
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3000,0,0.847841
ProtoNet,1,5,64,4,amazonreview_all_data,val,3000,0,0.466445
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3100,0,0.957999
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3100,0,0.840000
ProtoNet,1,5,64,4,amazonreview_all_data,val,3100,0,0.461528
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3200,0,0.961999
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3200,0,0.847043
ProtoNet,1,5,64,4,amazonreview_all_data,val,3200,0,0.485847
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3300,0,0.957999
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3300,0,0.844120
ProtoNet,1,5,64,4,amazonreview_all_data,val,3300,0,0.480000
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3400,0,0.965599
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3400,0,0.848771
ProtoNet,1,5,64,4,amazonreview_all_data,val,3400,0,0.456346
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3500,0,0.970799
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3500,0,0.813821
ProtoNet,1,5,64,4,amazonreview_all_data,val,3500,0,0.455681
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3600,0,0.933999
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3600,0,0.838405
ProtoNet,1,5,64,4,amazonreview_all_data,val,3600,0,0.428970
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3700,0,0.956799
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3700,0,0.843189
ProtoNet,1,5,64,4,amazonreview_all_data,val,3700,0,0.428704
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3800,0,0.803200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3800,0,0.245847
ProtoNet,1,5,64,4,amazonreview_all_data,val,3800,0,0.254618
ProtoNet,1,5,64,4,amazonreview_all_data,Train,3900,0,0.204000
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,3900,0,0.220199
ProtoNet,1,5,64,4,amazonreview_all_data,val,3900,0,0.241595
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4000,0,0.217200
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4000,0,0.222326
ProtoNet,1,5,64,4,amazonreview_all_data,val,4000,0,0.242525
ProtoNet,1,5,64,4,amazonreview_all_data,Train,4100,0,0.242400
ProtoNet,1,5,64,4,amazonreview_all_data,indomain-val,4100,0,0.228439
ProtoNet,1,5,64,4,amazonreview_all_data,val,4100,0,0.225116
