model,k_shots,num_classes,num_filters,num_conv_blocks,dataset,split,epoch,mix,accuracy
ProtoNet,1,5,64,4,amazonreview,val,2700,0,0.440266
ProtoNet,1,5,64,4,amazonreview,Train,2800,0,0.989599
ProtoNet,1,5,64,4,amazonreview,indomain-val,2800,0,0.765316
ProtoNet,1,5,64,4,amazonreview,val,2800,0,0.439336
ProtoNet,1,5,64,4,amazonreview,Train,2900,0,0.989599
ProtoNet,1,5,64,4,amazonreview,indomain-val,2900,0,0.760266
ProtoNet,1,5,64,4,amazonreview,val,2900,0,0.443721
ProtoNet,1,5,64,4,amazonreview,Train,3000,0,0.989599
ProtoNet,1,5,64,4,amazonreview,indomain-val,3000,0,0.767841
ProtoNet,1,5,64,4,amazonreview,val,3000,0,0.433355
ProtoNet,1,5,64,4,amazonreview,Train,3100,0,0.983199
ProtoNet,1,5,64,4,amazonreview,indomain-val,3100,0,0.738339
ProtoNet,1,5,64,4,amazonreview,val,3100,0,0.444784
ProtoNet,1,5,64,4,amazonreview,Train,3200,0,0.985199
ProtoNet,1,5,64,4,amazonreview,indomain-val,3200,0,0.741927
ProtoNet,1,5,64,4,amazonreview,val,3200,0,0.443854
ProtoNet,1,5,64,4,amazonreview,Train,3300,0,0.985199
ProtoNet,1,5,64,4,amazonreview,indomain-val,3300,0,0.746844
ProtoNet,1,5,64,4,amazonreview,val,3300,0,0.447973
ProtoNet,1,5,64,4,amazonreview,Train,3400,0,0.987999
ProtoNet,1,5,64,4,amazonreview,indomain-val,3400,0,0.752425
ProtoNet,1,5,64,4,amazonreview,val,3400,0,0.420731
ProtoNet,1,5,64,4,amazonreview,Train,3500,0,0.986399
ProtoNet,1,5,64,4,amazonreview,indomain-val,3500,0,0.729435
ProtoNet,1,5,64,4,amazonreview,val,3500,0,0.429236
ProtoNet,1,5,64,4,amazonreview,Train,3600,0,0.983599
ProtoNet,1,5,64,4,amazonreview,indomain-val,3600,0,0.737409
ProtoNet,1,5,64,4,amazonreview,val,3600,0,0.419668
ProtoNet,1,5,64,4,amazonreview,Train,3700,0,0.987999
ProtoNet,1,5,64,4,amazonreview,indomain-val,3700,0,0.767973
ProtoNet,1,5,64,4,amazonreview,val,3700,0,0.448505
ProtoNet,1,5,64,4,amazonreview,Train,3800,0,0.989199
ProtoNet,1,5,64,4,amazonreview,indomain-val,3800,0,0.773555
ProtoNet,1,5,64,4,amazonreview,val,3800,0,0.453953
ProtoNet,1,5,64,4,amazonreview,Train,3900,0,0.989999
ProtoNet,1,5,64,4,amazonreview,indomain-val,3900,0,0.765714
ProtoNet,1,5,64,4,amazonreview,val,3900,0,0.443854
ProtoNet,1,5,64,4,amazonreview,Train,4000,0,0.989999
ProtoNet,1,5,64,4,amazonreview,indomain-val,4000,0,0.770897
ProtoNet,1,5,64,4,amazonreview,val,4000,0,0.456213
ProtoNet,1,5,64,4,amazonreview,Train,4100,0,0.989999
ProtoNet,1,5,64,4,amazonreview,indomain-val,4100,0,0.764917
ProtoNet,1,5,64,4,amazonreview,val,4100,0,0.448638
ProtoNet,1,5,64,4,amazonreview,Train,4200,0,0.987999
ProtoNet,1,5,64,4,amazonreview,indomain-val,4200,0,0.738472
ProtoNet,1,5,64,4,amazonreview,val,4200,0,0.436944
ProtoNet,1,5,64,4,amazonreview,Train,4300,0,0.983199
ProtoNet,1,5,64,4,amazonreview,indomain-val,4300,0,0.760930
ProtoNet,1,5,64,4,amazonreview,val,4300,0,0.446379
ProtoNet,1,5,64,4,amazonreview,Train,4400,0,0.988799
ProtoNet,1,5,64,4,amazonreview,indomain-val,4400,0,0.758405
ProtoNet,1,5,64,4,amazonreview,val,4400,0,0.450897
ProtoNet,1,5,64,4,amazonreview,Train,4500,0,0.986399
ProtoNet,1,5,64,4,amazonreview,indomain-val,4500,0,0.747243
ProtoNet,1,5,64,4,amazonreview,val,4500,0,0.390698
ProtoNet,1,5,64,4,amazonreview,Train,4600,0,0.987199
ProtoNet,1,5,64,4,amazonreview,indomain-val,4600,0,0.759070
ProtoNet,1,5,64,4,amazonreview,val,4600,0,0.429635
ProtoNet,1,5,64,4,amazonreview,Train,4700,0,0.986799
ProtoNet,1,5,64,4,amazonreview,indomain-val,4700,0,0.712558
ProtoNet,1,5,64,4,amazonreview,val,4700,0,0.412757
ProtoNet,1,5,64,4,amazonreview,Train,4800,0,0.984799
ProtoNet,1,5,64,4,amazonreview,indomain-val,4800,0,0.779136
ProtoNet,1,5,64,4,amazonreview,val,4800,0,0.428704
ProtoNet,1,5,64,4,amazonreview,Train,4900,0,0.986399
ProtoNet,1,5,64,4,amazonreview,indomain-val,4900,0,0.744585
ProtoNet,1,5,64,4,amazonreview,val,4900,0,0.440532
ProtoNet,1,5,64,4,amazonreview,Train,5000,0,0.989999
ProtoNet,1,5,64,4,amazonreview,indomain-val,5000,0,0.776877
ProtoNet,1,5,64,4,amazonreview,val,5000,0,0.434153
ProtoNet,5,5,64,4,amazonreview,Train,100,0,0.688800
ProtoNet,5,5,64,4,amazonreview,indomain-val,100,0,0.795880
ProtoNet,5,5,64,4,amazonreview,val,100,0,0.653289
ProtoNet,5,5,64,4,amazonreview,Train,200,0,0.909999
ProtoNet,5,5,64,4,amazonreview,indomain-val,200,0,0.814219
ProtoNet,5,5,64,4,amazonreview,val,200,0,0.642525
ProtoNet,5,5,64,4,amazonreview,Train,300,0,0.951200
ProtoNet,5,5,64,4,amazonreview,indomain-val,300,0,0.817807
ProtoNet,5,5,64,4,amazonreview,val,300,0,0.645183
ProtoNet,5,5,64,4,amazonreview,Train,400,0,0.967999
ProtoNet,5,5,64,4,amazonreview,indomain-val,400,0,0.826312
ProtoNet,5,5,64,4,amazonreview,val,400,0,0.650897
ProtoNet,5,5,64,4,amazonreview,Train,500,0,0.974799
ProtoNet,5,5,64,4,amazonreview,indomain-val,500,0,0.822060
ProtoNet,5,5,64,4,amazonreview,val,500,0,0.598538
ProtoNet,5,5,64,4,amazonreview,Train,600,0,0.983199
ProtoNet,5,5,64,4,amazonreview,indomain-val,600,0,0.826445
ProtoNet,5,5,64,4,amazonreview,val,600,0,0.600664
ProtoNet,5,5,64,4,amazonreview,Train,700,0,0.984399
ProtoNet,5,5,64,4,amazonreview,indomain-val,700,0,0.819136
ProtoNet,5,5,64,4,amazonreview,val,700,0,0.634551
ProtoNet,5,5,64,4,amazonreview,Train,800,0,0.983199
ProtoNet,5,5,64,4,amazonreview,indomain-val,800,0,0.815548
ProtoNet,5,5,64,4,amazonreview,val,800,0,0.637475
ProtoNet,5,5,64,4,amazonreview,Train,900,0,0.984399
ProtoNet,5,5,64,4,amazonreview,indomain-val,900,0,0.819535
ProtoNet,5,5,64,4,amazonreview,val,900,0,0.621130
ProtoNet,5,5,64,4,amazonreview,Train,1000,0,0.986399
ProtoNet,5,5,64,4,amazonreview,indomain-val,1000,0,0.818738
ProtoNet,5,5,64,4,amazonreview,val,1000,0,0.621528
ProtoNet,5,5,64,4,amazonreview,Train,1100,0,0.985999
ProtoNet,5,5,64,4,amazonreview,indomain-val,1100,0,0.830166
ProtoNet,5,5,64,4,amazonreview,val,1100,0,0.610631
ProtoNet,5,5,64,4,amazonreview,Train,1200,0,0.987599
ProtoNet,5,5,64,4,amazonreview,indomain-val,1200,0,0.834950
ProtoNet,5,5,64,4,amazonreview,val,1200,0,0.639867
ProtoNet,5,5,64,4,amazonreview,Train,1300,0,0.985599
ProtoNet,5,5,64,4,amazonreview,indomain-val,1300,0,0.826711
ProtoNet,5,5,64,4,amazonreview,val,1300,0,0.624452
ProtoNet,5,5,64,4,amazonreview,Train,1400,0,0.985599
ProtoNet,5,5,64,4,amazonreview,indomain-val,1400,0,0.837209
ProtoNet,5,5,64,4,amazonreview,val,1400,0,0.619801
ProtoNet,5,5,64,4,amazonreview,Train,1500,0,0.985999
ProtoNet,5,5,64,4,amazonreview,indomain-val,1500,0,0.807973
ProtoNet,5,5,64,4,amazonreview,val,1500,0,0.594286
ProtoNet,5,5,64,4,amazonreview,Train,1600,0,0.983199
ProtoNet,5,5,64,4,amazonreview,indomain-val,1600,0,0.837608
ProtoNet,5,5,64,4,amazonreview,val,1600,0,0.616877
ProtoNet,5,5,64,4,amazonreview,Train,1700,0,0.987599
ProtoNet,5,5,64,4,amazonreview,indomain-val,1700,0,0.827641
ProtoNet,5,5,64,4,amazonreview,val,1700,0,0.589900
ProtoNet,5,5,64,4,amazonreview,Train,1800,0,0.984799
ProtoNet,5,5,64,4,amazonreview,indomain-val,1800,0,0.814751
ProtoNet,5,5,64,4,amazonreview,val,1800,0,0.601728
ProtoNet,5,5,64,4,amazonreview,Train,1900,0,0.986799
ProtoNet,5,5,64,4,amazonreview,indomain-val,1900,0,0.836146
ProtoNet,5,5,64,4,amazonreview,val,1900,0,0.608505
ProtoNet,5,5,64,4,amazonreview,Train,2000,0,0.987599
ProtoNet,5,5,64,4,amazonreview,indomain-val,2000,0,0.828040
ProtoNet,5,5,64,4,amazonreview,val,2000,0,0.611827
ProtoNet,5,5,64,4,amazonreview,Train,2100,0,0.981999
ProtoNet,5,5,64,4,amazonreview,indomain-val,2100,0,0.841196
ProtoNet,5,5,64,4,amazonreview,val,2100,0,0.591229
ProtoNet,5,5,64,4,amazonreview,Train,2200,0,0.988399
ProtoNet,5,5,64,4,amazonreview,indomain-val,2200,0,0.837209
ProtoNet,5,5,64,4,amazonreview,val,2200,0,0.597209
ProtoNet,5,5,64,4,amazonreview,Train,2300,0,0.988399
ProtoNet,5,5,64,4,amazonreview,indomain-val,2300,0,0.840133
ProtoNet,5,5,64,4,amazonreview,val,2300,0,0.575947
ProtoNet,5,5,64,4,amazonreview,Train,2400,0,0.988399
ProtoNet,5,5,64,4,amazonreview,indomain-val,2400,0,0.837475
ProtoNet,5,5,64,4,amazonreview,val,2400,0,0.572093
ProtoNet,5,5,64,4,amazonreview,Train,2500,0,0.987599
ProtoNet,5,5,64,4,amazonreview,indomain-val,2500,0,0.842658
ProtoNet,5,5,64,4,amazonreview,val,2500,0,0.578472
ProtoNet,5,5,64,4,amazonreview,Train,2600,0,0.988399
ProtoNet,5,5,64,4,amazonreview,indomain-val,2600,0,0.834286
ProtoNet,5,5,64,4,amazonreview,val,2600,0,0.590166
ProtoNet,5,5,64,4,amazonreview,Train,2700,0,0.988799
ProtoNet,5,5,64,4,amazonreview,indomain-val,2700,0,0.844651
ProtoNet,5,5,64,4,amazonreview,val,2700,0,0.591362
ProtoNet,5,5,64,4,amazonreview,Train,2800,0,0.989999
ProtoNet,5,5,64,4,amazonreview,indomain-val,2800,0,0.838538
ProtoNet,5,5,64,4,amazonreview,val,2800,0,0.579269
ProtoNet,5,5,64,4,amazonreview,Train,2900,0,0.989999
ProtoNet,5,5,64,4,amazonreview,indomain-val,2900,0,0.851694
ProtoNet,5,5,64,4,amazonreview,val,2900,0,0.582591
ProtoNet,5,5,64,4,amazonreview,Train,3000,0,0.984399
